iter	Passed	Remaining
0	146	146162
1	147	73361
2	147	49086
3	148	36944
4	149	29654
5	149	24800
6	150	21325
7	150	18716
8	151	16684
9	152	15059
10	152	13730
11	153	12622
12	153	11690
13	154	10899
14	155	10205
15	156	9596
16	157	9081
17	157	8610
18	158	8183
19	159	7801
20	159	7455
21	160	7140
22	161	6852
23	162	6593
24	163	6368
25	164	6145
26	164	5933
27	165	5738
28	165	5554
29	166	5384
30	167	5226
31	167	5077
32	168	4939
33	169	4811
34	170	4689
35	170	4574
36	171	4469
37	172	4375
38	173	4281
39	174	4188
40	175	4099
41	175	4014
42	176	3933
43	177	3856
44	178	3780
45	178	3709
46	179	3640
47	180	3574
48	180	3511
49	181	3453
50	182	3396
51	183	3341
52	184	3288
53	184	3236
54	185	3186
55	188	3170
56	188	3124
57	189	3079
58	190	3036
59	191	2994
60	191	2952
61	192	2911
62	193	2871
63	193	2831
64	194	2794
65	194	2758
66	195	2724
67	196	2691
68	197	2658
69	197	2626
70	198	2594
71	198	2564
72	199	2535
73	200	2505
74	201	2480
75	202	2458
76	203	2434
77	203	2408
78	204	2381
79	204	2356
80	205	2331
81	206	2307
82	206	2280
83	207	2257
84	207	2236
85	208	2215
86	209	2195
87	210	2176
88	210	2156
89	211	2136
90	212	2118
91	212	2099
92	213	2081
93	214	2064
94	214	2046
95	215	2029
96	218	2032
97	219	2016
98	219	1999
99	220	1984
100	221	1968
101	221	1953
102	222	1938
103	223	1923
104	223	1908
105	224	1894
106	225	1879
107	225	1866
108	226	1852
109	227	1839
110	228	1827
111	228	1815
112	229	1802
113	230	1790
114	231	1780
115	232	1773
116	233	1760
117	233	1749
118	234	1737
119	235	1725
120	235	1713
121	236	1700
122	236	1689
123	237	1678
124	238	1667
125	238	1656
126	239	1645
127	240	1635
128	240	1625
129	241	1614
130	241	1604
131	242	1594
132	243	1584
133	243	1575
134	244	1566
135	245	1557
136	245	1548
137	247	1546
138	248	1539
139	249	1530
140	249	1522
141	250	1512
142	251	1504
143	251	1496
144	252	1488
145	253	1481
146	254	1474
147	254	1466
148	255	1459
149	256	1453
150	257	1445
151	257	1439
152	258	1431
153	259	1424
154	259	1417
155	260	1409
156	261	1403
157	262	1397
158	263	1392
159	264	1387
160	264	1379
161	265	1374
162	266	1369
163	267	1365
164	268	1360
165	269	1355
166	270	1349
167	271	1343
168	272	1338
169	272	1332
170	273	1326
171	274	1320
172	274	1314
173	275	1307
174	276	1302
175	277	1298
176	278	1294
177	279	1289
178	280	1284
179	280	1278
180	281	1272
181	281	1266
182	282	1261
183	283	1255
184	283	1249
185	284	1244
186	285	1239
187	285	1233
188	286	1228
189	286	1223
190	287	1217
191	288	1212
192	288	1207
193	289	1201
194	289	1196
195	290	1191
196	291	1187
197	292	1183
198	293	1181
199	294	1177
200	295	1173
201	295	1168
202	296	1164
203	297	1159
204	297	1155
205	298	1151
206	299	1146
207	300	1142
208	300	1138
209	301	1134
210	302	1130
211	303	1126
212	303	1122
213	304	1118
214	305	1114
215	305	1110
216	306	1106
217	309	1109
218	309	1105
219	310	1101
220	311	1097
221	312	1093
222	312	1089
223	313	1086
224	314	1081
225	314	1078
226	315	1074
227	316	1070
228	316	1066
229	317	1062
230	318	1058
231	318	1055
232	319	1051
233	320	1047
234	320	1044
235	321	1040
236	322	1037
237	323	1035
238	324	1032
239	324	1028
240	325	1025
241	326	1021
242	326	1018
243	327	1014
244	328	1011
245	328	1007
246	329	1004
247	330	1000
248	330	997
249	331	994
250	331	990
251	332	987
252	333	983
253	333	980
254	334	977
255	335	974
256	336	971
257	336	968
258	337	966
259	339	965
260	340	962
261	340	959
262	341	957
263	342	954
264	342	951
265	343	948
266	344	945
267	344	942
268	345	939
269	346	936
270	346	933
271	347	930
272	348	928
273	350	927
274	350	924
275	351	922
276	352	920
277	353	918
278	354	916
279	355	914
280	356	912
281	357	910
282	358	908
283	359	906
284	360	903
285	360	901
286	362	899
287	362	897
288	363	894
289	364	891
290	364	888
291	365	885
292	365	882
293	366	880
294	367	877
295	368	875
296	369	875
297	370	872
298	371	870
299	371	867
300	372	864
301	373	862
302	373	859
303	374	857
304	375	855
305	376	853
306	377	851
307	377	848
308	378	846
309	379	844
310	379	841
311	381	840
312	382	839
313	385	841
314	386	839
315	386	837
316	387	835
317	389	834
318	389	832
319	390	830
320	391	827
321	392	825
322	392	823
323	393	821
324	395	820
325	396	819
326	396	816
327	397	814
328	399	814
329	400	813
330	401	812
331	402	810
332	403	807
333	403	805
334	404	802
335	405	800
336	405	798
337	406	796
338	407	793
339	407	791
340	408	789
341	409	787
342	409	785
343	410	783
344	411	780
345	411	778
346	412	776
347	413	774
348	415	775
349	416	773
350	417	771
351	417	768
352	418	766
353	418	764
354	420	763
355	421	762
356	421	759
357	422	757
358	423	755
359	424	754
360	424	752
361	426	750
362	427	749
363	428	747
364	430	749
365	431	747
366	432	746
367	433	744
368	434	742
369	435	741
370	436	739
371	436	737
372	437	735
373	438	734
374	440	733
375	440	731
376	441	729
377	442	727
378	442	725
379	443	723
380	447	726
381	447	724
382	448	722
383	449	720
384	449	718
385	450	716
386	451	715
387	452	713
388	453	712
389	454	710
390	454	708
391	455	706
392	456	704
393	457	703
394	458	701
395	459	700
396	460	699
397	460	697
398	461	695
399	462	693
400	463	692
401	467	695
402	468	693
403	468	691
404	471	692
405	472	690
406	473	689
407	476	692
408	480	694
409	481	693
410	483	692
411	485	692
412	486	691
413	487	689
414	488	688
415	488	686
416	489	684
417	492	685
418	493	684
419	493	682
420	494	680
421	495	678
422	497	678
423	498	677
424	500	676
425	500	674
426	501	672
427	502	672
428	504	671
429	505	670
430	506	668
431	507	667
432	509	666
433	510	665
434	511	664
435	512	662
436	512	660
437	513	659
438	515	658
439	516	657
440	517	656
441	519	655
442	521	655
443	523	655
444	524	654
445	525	652
446	526	651
447	527	649
448	528	647
449	528	646
450	531	647
451	532	645
452	533	644
453	535	643
454	536	642
455	538	642
456	540	642
457	541	641
458	542	639
459	543	638
460	544	636
461	545	635
462	546	633
463	547	632
464	548	630
465	548	628
466	550	627
467	551	626
468	553	626
469	554	625
470	555	623
471	555	621
472	556	620
473	557	618
474	557	616
475	558	615
476	561	615
477	562	614
478	563	612
479	565	612
480	566	611
481	568	610
482	569	609
483	570	608
484	571	606
485	572	605
486	572	603
487	573	601
488	574	600
489	575	598
490	576	597
491	581	600
492	583	600
493	584	599
494	585	597
495	586	596
496	588	595
497	588	593
498	590	592
499	590	590
500	592	589
501	599	594
502	602	594
503	604	595
504	605	593
505	606	592
506	610	593
507	612	593
508	616	594
509	617	593
510	618	592
511	619	590
512	620	589
513	631	596
514	632	595
515	633	593
516	634	592
517	635	591
518	636	589
519	637	588
520	638	586
521	638	585
522	641	584
523	642	583
524	643	582
525	645	581
526	646	579
527	647	578
528	647	576
529	648	575
530	649	573
531	650	572
532	651	570
533	651	568
534	653	567
535	653	566
536	655	565
537	658	565
538	660	564
539	661	563
540	662	561
541	663	560
542	664	559
543	665	557
544	666	556
545	667	554
546	667	552
547	668	551
548	669	549
549	669	548
550	671	547
551	674	547
552	676	546
553	677	545
554	679	545
